,EHRI-ID,WD-ID,Camp-EHRI-label-simple,HGC_ID,SubcampSimple,ID1,ID,MHG_ID,SubcampDiaFix,SubcampDiaFixSimple,SubcampMattingly,Main,Women,Men,Gender,FIRMS,YYYY_OPEN,MM_OPEN,DD_OPEN,Open_Txt,YYYY_CLOSE,MM_CLOSE,DD_CLOSE,Close_Txt,PRISONERS,Date_Open,Date_Close,PEAK_POP,FUNC_1,FUNC_2,HOW_FOUND,Share_Loc,LAT,LONG,NATIONS,ENCY_REF,LABOR,EDIT_NOTES
16,15.0,Q315724,F�rstengrube,01-0302-3,F�rstengrube,17,01-0302-3,517,F�rstengrube,F�rstengrube,F�rstengrube^Furstengrube,Auschwitz,2,1,3,of IG Farbenindustrie AG and Fⁿrstengrube GmbH,43.0,9.0,,"""Early September 1943""",45.0,1.0,19.0,,"Jewish, mostly Polish Jews",09/01/1943,01/19/1945,1283,9,0,,0,50.733299,18.983299,"French, Czech, Poles, Belgian, Dutch, Greek, Hungarian, German, Austrian","Encyclopedia of Camps, Volume 1 pg 239",Prisoners mined coal in old mine and built new mine for IG Farben's Buna plant,
17,16.0,Q47515165,Gleiwitz I,01-0325-3,Gleiwitz I,18,01-0325-3,518,Gleiwitz I,Gleiwitz I,Gleiwitz I^Gleiwitz,Auschwitz,2,1,3,,44.0,3.0,,"""March 1944""",45.0,1.0,18.0,"""January 18, 1945""",Jewish,03/15/1944,01/18/1945,1336,5,0,,0,50.283298,18.6667,"Bohemian, Slovs, Yugoslavs, Hungarian, Itailian, Ukranian, Russian, Polish","Encyclopedia of Camps, Volume 1 pg 241",Prisoners repaired freight and tank rail cars for the Gleiwitz Reichsbahnausbesserungswerk,
18,17.0,Q47515210,Gleiwitz II,01-0326-3,Gleiwitz II,19,01-0326-3,519,Gleiwitz II,Gleiwitz II,Gleiwitz II,Auschwitz,2,1,3,German Deutsche Gasrusswerke company,44.0,5.0,4.0,"""May 3, 1944""",45.0,1.0,18.0,,Jewish,05/04/1944,01/18/1945,1111,9,0,Could only find city center,1,50.2945,18.6714,"Silesia, Hungarian, Poles","Encyclopedia of Camps, Volume 1 pg 243","Prisoners produced carbon black from anthracite, sulfur, and oil in large factories",
19,18.0,Q47515770,Gleiwitz III,01-0327-1,Gleiwitz III,20,01-0327-1,520,Gleiwitz III,Gleiwitz III,Gleiwitz III,Auschwitz,0,1,1,Zieleniewski Works,44.0,5.0,,"""Spring 1944""",45.0,1.0,19.0,,Jewish,03/01/1944,01/19/1945,609,4,0,Could only find city center,1,50.2945,18.6714,Poles,"Encyclopedia of Camps, Volume 1 pg 244","Prisoners unloaded aircraft parts an airport, worked at railway sidings unloading armaments, later assembled weapons",
20,19.0,Q47515717,Gleiwitz IV,01-0328-3,Gleiwitz IV,21,01-0328-3,521,Gleiwitz IV,Gleiwitz IV,Gleiwitz IV,Auschwitz,2,1,3,"Hahn Company, Heeresbauverwaltung Gleiwitz (Land Army Engineering Corps in Gleiwitz",44.0,6.0,,"""June 1944""",45.0,1.0,18.0,,"Jewish, Russians",06/15/1944,01/18/1945,380,7,4,Could only find city center,1,50.2945,18.6714,"Russians, Poles","Encyclopedia of Camps, Volume 1 pg 246","Cleared rubble from bombed cities, worked in the port, built barracks, painted military vehicles",
21,20.0,Q1719373,Golleschau,01-0333-0,Golleschau,22,01-0333-0,522,Golleschau,Golleschau,Golleschau,Auschwitz,0,0,0,,42.0,8.0,,"""August 1942""",45.0,1.0,,,"Jewish, Poles, Russians",08/15/1942,01/01/1945,1059,5,0,,0,49.733299,18.75,"Poles, French, Russians, Czechs, Hungarians, Greeks,","Encyclopedia of Camps, Volume 1 pg 247","Worked at a cement factory laying railroad tracks, crushing stone, sifting coal, doing carpentry etc",
22,21.0,Q47515456,G�nthergrube,01-0365-0,G�nthergrube,23,01-0365-0,523,G�nthergrube,G�nthergrube,G�nthergrube^Gunthergrube,Auschwitz,0,0,0,Fⁿrstlich Plessische Bergwerks AG corporation,44.0,2.0,,"""Late January/Early February 1944""",45.0,1.0,18.0,,"Jewish, Very few germans/Poles",02/01/1944,01/18/1945,600,9,0,,0,50.233299,19.149999,"French, Dutch, Polish jews","Encyclopedia of Camps, Volume 1 pg 249",Mined coal in an existing mine and dug an additional mine,
23,22.0,Q47515773,Harmense,01-0413-3,Harmense,24,01-0413-3,524,Harmense,Harmense,Harmense,Auschwitz,2,1,3,Farming,41.0,12.0,8.0,"""December 8, 1941""",45.0,1.0,18.0,,Jewish,12/08/1941,01/18/1945,106,6,0,,0,50.0167,19.149999,"Poles, Germans","Encyclopedia of Camps, Volume 1 pg 250",Prisoners worked on the SS farm surrounding Auschwitz,
24,23.0,Q47515519,Hindenburg,01-0440-3,Hindenburg O.S.,25,01-0440-3,525,Hindenburg O.S.,Hindenburg O.S.,Hindenburg O.S.^Hindenburg,Auschwitz,2,1,3,Vereinigte Oberschlesische Hⁿttenwerke A.G,44.0,8.0,,"""August 1944""",45.0,1.0,19.0,"""January 19, 1945""",Mostly Polish Jews,08/15/1944,01/19/1945,541,4,0,,0,50.316699,18.7833,"Slavs, Poles, Gypsy, Czech","Encyclopedia of Camps, Volume 1 pg 252",Worked in steel mill producing ammunition; mainly bullets and grenades,
25,24.0,Q47515683,Hohenlinde,01-0448-0,Hohenlinde,26,01-0448-0,526,Hohenlinde [aka Hubertush�tte],Hohenlinde,Hohenlinde,Auschwitz,0,0,0,,44.0,12.0,,"""December 1944""",45.0,1.0,18.0,"""January 18/19, 1945""",Jewish,12/15/1944,01/18/1945,202,4,0,,0,50.333301,18.9333,,"Encyclopedia of Camps, Volume 1 pg 253",Worked in a steel mill that made armaments. Most prisoners worked to construct new buildings for armament production,
26,25.0,Q47515283,Janinagrube,01-0465-0,Janinagrube,27,01-0465-0,527,"Janinagrube [aka Johannagrube, Gute Hoffnungsgrube]",Janinagrube,Janinagrube,Auschwitz,0,0,0,IG Farbenindustrie,43.0,9.0,4.0,"""September 4, 1943""",45.0,1.0,25.0,,"First a few British POW, but replaced by Jews",09/04/1943,01/25/1945,877,9,0,,0,50.099998,19.316699,"Polish Jews, Polish, German","Encyclopedia of Camps, Volume 1 pg 253","Prisoners mined coal for IG Farben, some worked above ground in various support capacities",
27,26.0,Q327998,Jawischowitz,01-0467-0,Jawischowitz,28,01-0467-0,528,Jawischowitz,Jawischowitz,Jawischowitz,Auschwitz,0,0,0,Hermann G÷ring Werke,42.0,8.0,15.0,"""August 15, 1942""",45.0,1.0,17.0,,Jewish,08/15/1942,01/17/1945,1948,9,0,,0,49.95,19.149999,All over Europe,"Encyclopedia of Camps, Volume 1 pg 255","Prisoners mined coal for Reichswerke Hermann Goring , 80% below ground",
28,27.0,Q47515460,Kattowitz,01-0483-0,Kattowitz,29,01-0483-0,529,Kattowitz,Kattowitz,Kattowitz,Auschwitz,0,0,0,,44.0,1.0,,"""January 1944""",45.0,1.0,,"""January 1945""",,01/15/1944,01/15/1945,10,7,0,,0,50.2667,19.0167,,"Encyclopedia of Camps, Volume 1 pg 257",Erected air raid shelters and may have also conducted bomb disposal operations,
29,28.0,Q47515304,Kobier,01-0507-0,Kobier,30,01-0507-0,530,Kobier,Kobier,Kobier,Auschwitz,0,0,0,Pszczyna Forest Management Agency,42.0,,,"""Fall 1942""",43.0,8.0,28.0,"""August 28, 1943""","Mostly Jews, some Poles, Russians and Germans",09/01/1942,08/28/1943,150,5,0,,0,50.066699,18.95,"Polish Jews, French, Belgian, Czech, German,Russian","Encyclopedia of Camps, Volume 1 pg 257",Used by Pszczyna Forest Management agency for logging trees in the forest and preparing them for processing,
30,29.0,Q47515809,Lagischa,01-0540-0,Lagischa,31,01-0540-0,531,Lagischa,Lagischa,Lagischa,Auschwitz,0,0,0,Energie û Versorgung Oberschlesien,43.0,9.0,8.0,"""September 8, 1943""",45.0,1.0,,"""January 1945?""","Mostly Polish and French Jews, some Poles and Russians",09/08/1943,01/15/1945,725,5,0,,0,50.349998,19.1333,"Polish, French, Russian","Encyclopedia of Camps, Volume 1 pg 259",German companies used prisoners to construct a power plant,
31,30.0,Q47515386,Laurah�tte,01-0559-0,Laurah�tte,32,01-0559-0,532,Laurah�tte,Laurah�tte,Laurah�tte^Laurahutte,Auschwitz,0,0,0,Oberschlesische GerΣtebau GmbH,41.0,,,"""Late March or Early April 1941""",45.0,1.0,23.0,,Jewish,04/01/1941,01/23/1945,937,4,0,,0,50.299999,19.0333,"French, Belgian, Dutch","Encyclopedia of Camps, Volume 1 pg 261",Manufactured anti aircraft guns for the navy; generally skilled labor,
32,31.0,Q47515376,Lichtewerden,01-0578-2,Lichtewerden,33,01-0578-2,533,Lichtewerden,Lichtewerden,Lichtewerden,Auschwitz,2,0,2,G.A. Buhl u Sohn,44.0,11.0,11.0,"""November 11, 1944""",45.0,5.0,8.0,,Jewish,11/11/1944,05/08/1945,300,5,0,,0,50.049999,17.4167,"Czech, Polish, Slovak","Encyclopedia of Camps, Volume 1 pg 263",Prisoners worked in a thread factory in yarn-winding or linen spinning mill,
33,33.0,Q190410,Jaworzno,01-0700-3,Neu-Dachs,34,01-0700-3,535,Neu-Dachs,Neu-Dachs,Neu-Dachs,Auschwitz,2,1,3,Energieversorgung Oberschlesien Akiengesellschaft,43.0,6.0,15.0,"""June 15, 1943""",45.0,1.0,,"""January 1945""","Jewish, some Poles",06/15/1943,01/15/1945,3664,9,0,,0,50.1333,19.2667,"Greek, Polish, Yugoslavs, Hugnary, Czech, French, German","Encyclopedia of Camps, Volume 1 pg 264","Prisoners mined hard coal, others worked in construction",
34,34.0,Q47515874,Neustadt O.S.,01-0712-2,Neustadt O/S,35,01-0712-2,536,Neustadt O/S,Neustadt O/S,Neustadt O/S^Neustadt,Auschwitz,2,0,2,Schlesische Feinweberei,44.0,9.0,,"""September 1944""",45.0,1.0,19.0,,Jewish,09/15/1944,01/19/1945,0,5,0,,0,50.316699,17.583299,,"Encyclopedia of Camps, Volume 1 pg 266",Prisoners worked in the weaving area of a textile mill,
35,35.0,Q47515547,Plawy,01-0776-3,Plawy,36,01-0776-3,537,"Plawy [aka Wirtschaftshof Plawy, Gut Plawy]",Plawy,Plawy,Auschwitz,2,1,3,,45.0,1.0,3.0,"""January 3, 1945?""",45.0,1.0,17.0,,Mostly Russian and Jewish,01/03/1945,01/17/1945,338,6,0,,0,50.033298,19.149999,"Polish, Hungarian, Russian","Encyclopedia of Camps, Volume 1 pg 266",Prisoners worked on a farm with horses and dairy cows in the Auschwitz zone of influence,
36,2912.0,Q45529408,Radostowitz,01-0801-0,Radostowitz,37,01-0801-0,1624,Radostowitz,Radostowitz,Radostowitz,Auschwitz,0,0,0,Pless Forestry Management Office,42.0,,,"""1942""",43.0,,,"""1943""",Jewish,,,20,6,0,,0,50.0167,18.899999,,"Encyclopedia of Camps, Volume 1 pg 268",Prisoners logged trees under the Pless Forestry Management Office that were used for open-pit cremations,
37,2927.0,Q45530538,Rajsko,01-0803-3,Rajsko,38,01-0803-3,538,Rajsko,Rajsko,Rajsko,Auschwitz,2,1,3,IG Farben,43.0,6.0,12.0,"""June 12, 1943""",45.0,1.0,18.0,,Jewish,06/12/1943,01/18/1945,450,6,0,,0,50.0167,19.1833,"Polish, Russian","Encyclopedia of Camps, Volume 1 pg 268","Worked to repair evacuated Polish village in preparation for SS farm; demolition work, building dikes, cleaning fishponds, draining fields, building roads",
38,,,,01-0910-0,Sosnowitz (OSMAG),39,01-0910-0,539,Sosnowitz (OSMAG),Sosnowitz (OSMAG),Sosnowitz,Auschwitz,0,0,0,,43.0,8.0,,"""August 1943""",44.0,2.0,,"""February 1944""","Mostly Polish, some Jews and Germans",08/15/1943,02/15/1944,100,5,0,,0,50.299999,19.1667,"Poles, Polish And French Jews, Germans","Encyclopedia of Camps, Volume 1 pg 270","Skilled labor prisoners repaired a building with bricklayers, paintiners, carpenters, cabinetmakers etc",
39,37.0,Q47515733,Sosnowitz II,01-0911-0,Sosnowitz II,40,01-0911-0,540,Sosnowitz II,Sosnowitz II,Sosnowitz II,Auschwitz,0,0,0,Ost-Maschinenbau GmbH company,44.0,5.0,,"""May 1944""",45.0,1.0,,"""January 1945""","Jewish, some Poles, Russians, Germans, and French",05/15/1944,01/15/1945,900,4,0,Could only find city center,0,50.2863,19.1041,"Polish, French, Belgian, Itailan, Greek, Yugoslavs, Russians","Encyclopedia of Camps, Volume 1 pg 270",Prisoners manufactured anti-aircraft guns and shells,
40,38.0,Q47515286,Trzebinia,01-0970-0,Trzebinia,41,01-0970-0,541,Trzebinia,Trzebinia,Trzebinia,Auschwitz,0,0,0,German Erd÷l Raffinerie Trzebinia G.m.b.H. petroleum refinery,44.0,8.0,,"""August 1944""",45.0,1.0,17.0,"""Jaunuary 17or 18, 1945""",Jewish,08/15/1944,01/17/1945,800,9,0,,0,50.166698,19.483299,"Hungarian, Polish","Encyclopedia of Camps, Volume 1 pg 271","Prisoners worked mainly to expand an existing refinery; bricklaying, constructing sewers, digging ditches",
41,39.0,Q47515654,Tschechowitz (Bombensucherkommando),01-0971-0,Tschechowitz (Bombensucherkommando),42,01-0971-0,542,Tschechowitz (Bombensucherkommando),Tschechowitz (Bombensucherkommando),Tschechowitz,Auschwitz,0,0,0,,44.0,8.0,,"""After bombing on August 20, 1944""",44.0,9.0,,"""Early September 1944""","Jewish, originally German Prisoners",08/25/1944,09/01/1944,70,7,0,,0,49.916698,19.0167,"Hungarian, Polish, German, French","Encyclopedia of Camps, Volume 1 pg 273",Prisoners removed unexploded bombs from railroads near Auschwitz,
42,2306.0,Q45483365,Tschechowitz,01-0972-0,Tschechowitz,43,01-0972-0,543,Tschechowitz [aka Tschechowitz-Vacuum],Tschechowitz,FALSE,Auschwitz,0,0,0,,44.0,9.0,,"""September 1944""",45.0,1.0,18.0,,Jewish,09/15/1944,01/18/1945,596,9,0,"Unsure of the exact location, point is the same as that for the other Tsche",0,50.0,19.016701,"Hungarian, Polish, Czech","Encyclopedia of Camps, Volume 1 pg 274","Prisoners worked at a petroleum refinery demolishing the ruins of bombed structure, doing bricklaying, concrete work, and repai",
43,42.0,Q7332,Bergen-Belsen,02-0065-0,Bergen-Belsen,44,02-0065-0,544,Bergen-Belsen,Bergen-Belsen,Bergen-Belsen,Bergen-Belsen,0,0,0,,43.0,3.0,21.0,,45.0,4.0,,,,03/21/1943,04/15/1945,55000,0,0,,0,52.758899,9.907099,,"Encyclopedia of Camps, Volume 1 pg 278",main camp,AK added Open YYYY and Open YYYY Prefix and Date_Lib_Txt from Encyclopedia
44,2679.0,Q45511762,Bomlitz,02-0121-2,Bomlitz,45,02-0121-2,545,Bomlitz [aka Benefeld],Bomlitz,Bomlitz,Bergen-Belsen,2,0,2,EIBIA & Wolff,44.0,9.0,3.0,"""September 3, 1944""",44.0,10.0,,"""October 1944""",Jewish,09/03/1944,10/15/1944,600,4,0,,0,52.900001,9.649999,Polish,"Encyclopedia of Camps, Volume 1 pg 282","Worked in a gunpowder and arms factory , also laid track for the factory railway",
45,350.0,Q1719266,Hamb�hren,02-0382-2,Hamb�hren,46,02-0382-2,546,Hamb�hren [aka Hamb�hren-Ovelg�nne or Waldeslust],Hamb�hren,Hamb�hren^Hambuhren,Bergen-Belsen,2,0,2,Focke-Wulf Flugzeugbau,44.0,8.0,23.0,"""August 23, 1944""",45.0,2.0,4.0,"""February 4, 1945""","Jewish, POW",08/23/1944,02/04/1945,400,4,0,,0,52.6333,9.9833,"Polish, Hungarian","Encyclopedia of Camps, Volume 1 pg 284",Deployed underground to convert a potash mine into an aircraft factory,
46,2056.0,Q1719310,Unterl�ß,02-0979-2,Unterl�ss,47,02-0979-2,547,Unterl�ss [aka Lager Tannenberg or Altensothrieth],Unterl�ss,Unterl�ss^Unterluss,Bergen-Belsen,2,0,2,,44.0,8.0,,"""End of August, 1944""",45.0,4.0,13.0,"""April 13, 1945""",Jewish,08/31/1944,04/13/1945,900,4,0,,0,52.833301,10.2833,"Polish, Hungarian, Yugoslavian","Encyclopedia of Camps, Volume 1 pg 286",Inmates built bunkers at an ammunition factory and later in the factory itself,
47,400.0,Q18413086,Augsburg-Horgau,03-0028-3,Augsburg-Horgau,48,03-0028-3,663,Augsburg-Horgau,Augsburg-Horgau,Augsburg-Horgau,Dachau,2,1,3,Sheet Metal Facility of the Messerschmitt Aircraft Factory,45.0,3.0,,"""March 1945""",45.0,4.0,4.0,"""April 4, 1945""",some POW,03/15/1945,04/04/1945,307,4,5,,0,48.3667,10.8833,"Russian, Hungarian, French, Alsatians",Encyclopedia of Camps and Ghettos p. 452,wings for Me 262 fighter jet produced; laborers also worked in sheet metal factory,
48,180.0,Q47515372,Augsburg-Pfersee,03-0029-1,Augsburg-Pfersee,49,03-0029-1,664,Augsburg-Pfersee,Augsburg-Pfersee,Augsburg-Pfersee,Dachau,0,1,1,Messerschmitt AG,44.0,4.0,27.0,"""April 27, 1944""",45.0,4.0,25.0,,"Mostly Political, Forced Labor, Political Protective, Jehovah's witnesses, Gypsies, Homosexuals, Jews",04/27/1944,04/25/1945,1750,4,6,Found Pfersee suburb of Augsburg on google maps,0,48.368,10.868,"Belgian, French, Greek, Italian, Yugoslavian, Lithuanian, Luxemburgers, Dutch, Austrian, Polish, Ukranian, Hungarian, White Russian(Belarus)",Encyclopedia of Camps and Ghettos p. 454,worked almost exclusively for Messerschmitt; some worked in the city of Augsburg and german Railways,
49,178.0,Q47515600,Augsburg (Michelwerke),03-0030-2,Augsburg (Michelwerke),50,03-0030-2,665,Augsburg (Michelwerke),Augsburg (Michelwerke),Augsburg,Dachau,2,0,2,"Michelwerke, Keller & Knappich",44.0,9.0,7.0,"""September 7, 1944""",45.0,4.0,,"""April 1945""",,09/07/1944,04/15/1945,500,4,7,Found Kriegshaber district of Augsburg,0,48.3765,10.8587,"Hungarian, Czech, Ukranian",Encyclopedia of Camps and Ghettos p. 451,michelwerke produced electrical parts for airplanes; keller and knappich produced small mortars and cartridges; after air raids women used for clean up,
50,184.0,Q47515597,Bad Ischl,03-0038-1,Bad Ischl,51,03-0038-1,666,"Bad Ischl [aka Bad Ischl, Umsiedlerlager]",Bad Ischl,Bad Ischl,Dachau,0,1,1,,42.0,2.0,9.0,"""February 9, 1942""",42.0,12.0,19.0,"""December 19, 1942""",,02/09/1942,12/19/1942,60,6,0,,0,47.7167,13.6167,,Encyclopedia of Camps and Ghettos p. 455,prisoners used for erecting and furnishing barracks of resettlement camps,
51,185.0,Q47515649,Bad Oberdorf,03-0040-3,Bad Oberdorf,52,03-0040-3,668,Bad Oberdorf,Bad Oberdorf,Bad Oberdorf,Dachau,2,1,3,,45.0,3.0,20.0,"""March 20, 1945""",45.0,4.0,25.0,"""April 25, 1945""","Ilse Hess, Rudolf Hess's wife, along with one Jehovahs Witness",03/20/1945,04/25/1945,1,1,0,,0,47.5,10.3833,German,Encyclopedia of Camps and Ghettos p. 455,this camp consisted of one prisoner and lasted for one month,
